2023-07-28 15:59:02.890 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java3y.austin.SocketTest], using SpringBootContextLoader
2023-07-28 15:59:03.457 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.java3y.austin.SocketTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-07-28 15:59:03.459 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.java3y.austin.SocketTest]: SocketTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-07-28 15:59:03.585 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.java3y.austin.AustinApplication for test class com.java3y.austin.SocketTest
2023-07-28 15:59:03.690 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-07-28 15:59:03.713 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40f70521, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@774698ab, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55342f40, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a4ca3f6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72ea6193, org.springframework.test.context.support.DirtiesContextTestExecutionListener@31aa3ca5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45905bff, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2a2c13a8, org.springframework.test.context.event.EventPublishingTestExecutionListener@b6b1987, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6b44435b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ccca26f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@66b7550d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3543df7d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7c541c15, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3542162a]
2023-07-28 15:59:04.264 [main] INFO  c.a.b.nacos.config.util.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='austin-nacos:8848', contextPath='null', encode='null', endpoint='null', namespace='hades', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='null', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2023-07-28 15:59:04.326 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2023-07-28 15:59:04.529 [main] INFO  c.a.b.nacos.config.util.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='austin-nacos:8848', contextPath='null', encode='null', endpoint='null', namespace='hades', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='null', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2023-07-28 15:59:04.539 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2023-07-28 15:59:04.545 [main] INFO  com.java3y.austin.SocketTest - Starting SocketTest using Java 20.0.1 on yuelideMacBook-Pro.local with PID 56797 (started by yueli in /Users/yueli/workspace/java/github.com/captain/austin-web)
